"lei","name","country"
"8156003F461C3D10B315","ACANTUS S.P.A.","IT"
"815600EC178EEE69E481","EXETRA S.P.A.","IT"
"789000XDPJFDGEU86P31","INTESA SANPAOLO SPA İTALYA İSTANBUL MERKEZ ŞUBESİ","TR"
"8156001ABCDB9E7C7705","PRESTITALIA S.P.A.","IT"
"222100VKE4U77H2IDP03","PRIVATE EQUITY INTERNATIONAL S.A.","LU"
"549300DR61OKD1UKCK14","FONDO PENSIONE DIPENDENTI EX CARIPRATO","IT"
"222100D7KSQ22ZVMKM20","GAP MANCO","LU"
"213800CBOERFQH934Q10","INTESA SANPAOLO BRASIL S.A. - BANCO MULTIPLO","BR"
"2221001BQYKCFUQGX885","INTESA SANPAOLO SEC SA","LU"
"222100ECVDB4RTLS8E02","IMI INVESTMENTS S.A.","LU"
"5493006UY56V4KORVP94","BANCA COMERCIALĂ “EXIMBANK” S.A.","MD"
"54930009CCENXT9WTF32","INTESA SANPAOLO BANK ALBANIA","AL"
"5493002D2LSSUA5KUB24","AlexBank","EG"
"5493001XF6EC2NJXK304","BANCA INTESA AKCIONARSKO DRUSTVO BEOGRAD","RS"
"815600D20361C46B7C65","INTESA SANPAOLO RE.O.CO. S.P.A. O BREVEMENTE REOCO S.P.A.","IT"
"81560095E5C286EA9562","ISYBANK S.P.A.","IT"
"5493008GCK1NNHETAC81","PBZ STAMBENA ŠTEDIONICA DIONIČKO DRUŠTVO ZA STAMBENU ŠTEDNJU","HR"
"8156000A3437C5E72362","FIDEURAM - INTESA SANPAOLO PRIVATE BANKING ASSET MANAGEMENT - SOCIETA' DI GESTIONE DEL RISPARMIO S.P.A. - IN FORMA ABBREVIATA FIDEURAM ASSET MANAGEMENT SGR S.P.A.","IT"
"213800CGWUEIX6ZHBX50","FONDO PENSIONE APERTO GIUSTINIANO","IT"
"213800CF4E69O3XA2112","FONDO PENSIONE APERTO IL MIO DOMANI","IT"
"2138006QWFK8LX78NL81","PREVIDSYSTEM - FONDO PENSIONE APERTO","IT"
"815600C2B72391A68F89","IW PRIVATE INVESTMENTS SOCIETA' DI INTERMEDIAZIONE MOBILIARE S.P.A.","IT"
"635400PSMCTBZD9XNS47","Intesa Sanpaolo Bank Ireland PLC","IE"
