"isin","holder_lei"
"EE9228424396","549300GF3543BG7KSO29"
"EE9228424396","529900BVN6NPN8R4A847"
"EE9228424396","549300LWRLCM6PDOWT06"
"EE9228424396","815600812B9FCEADA322"
"RS3634426527","5299005P4GYQOPFDEA10"
"RS3634426527","529900R1CDB2JWCHM252"
"RS3634426527","529900U28ZJDY22FJA32"
"RS3634426527","529900E4BFYIPRTO6Z06"
"LV3333778678","529900VHISCWBZGTC349"
"LV3333778678","5493006VU2HFXGSBFT75"
"LV3333778678","549300J195RNZCVP3838"
"LV3333778678","529900UK1NI11U9GYA54"
"RO1199424573","549300M7Z0QGKMRGQI27"
"RO1199424573","254900BJQU6FV8FPQ152"
"RO1199424573","5493001YVFV3APNDVC85"
"RO1199424573","5299006FEUM0TNPY9T06"
"CZ8237693855","815600978329D468F632"
"CZ8237693855","529900E7W7M9W46YY476"
"CZ8237693855","529900MX5HGF7REC5221"
"CZ8237693855","549300CR9TBLZ3CGBS13"
"BE1394491883","529900XP4MMP82P0MO48"
"BE1394491883","529900L30NS8FOKXCQ03"
"BE1394491883","2534008T9TCKSJHXMX83"
"BE1394491883","529900FIAMEJDQ8C9097"
"GB9366690940","5493002DZLHDQ5SJRQ41"
"GB9366690940","549300Y5DWNPH2EAYP47"
"GB9366690940","549300XEOB85AXEXN594"
"GB9366690940","529900OT0RA0QHZML224"
"MT6212304641","549300DWD4D3B5EZJC04"
"MT6212304641","529900X8EH8ZJQ099P39"
"MT6212304641","549300HU3DF6UVK2PT12"
"MT6212304641","6354002CRGHLJFNUZQ44"
"SE3403093102","54930001JAUYYSFBMP93"
"SE3403093102","549300UBZRP8XMNLA119"
"SE3403093102","529900X2JGG41VB42995"
"SE3403093102","529900598KUP7JQ9R531"
"FR2717533135","5299006B34ANR1HH4Z58"
"FR2717533135","549300XTY6LAIQSLES59"
"FR2717533135","529900598KUP7JQ9R531"
"FR2717533135","529900J5LZ8NSD1NDD83"
"SK5309398547","2549008QKYSJ7Y15KR64"
"SK5309398547","5299001PZYZQV5PVWU54"
"SK5309398547","5299007QILH2588Y8Z31"
"SK5309398547","549300IZVFHOWFWNNK55"
"NO2892145588","529900VPJF35O5YAHQ53"
"NO2892145588","5299003G9CMV5CY1FU81"
"NO2892145588","529900XWDFM4LA695B56"
