child_lei,child_name,child_country,parent_lei,parent_name
5493003UBWGSYIWIWI94,UNILEVER OVERSEAS HOLDINGS LIMITED,GB,549300MKFYEKVRWML317,UNILEVER PLC
529900UQEDDC3E29UW81,Eurolease MARDUK Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900KZG4APR9VJDP17,Z Leasing JANUS Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900FGTUG6XHFKKL25,CAM Private Equity Nominee GmbH & Co. KG,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900XGX8IRUTDYO016,BAL HESTIA Immobilien Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300ORS5KCRGSJJG24,LIPOMA B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
549300MJOLZ1Y6N1RN58,ROLON B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
529900WE0D9FIB4EQI28,"Philippine Opportunities for Growth and Income (SPV-AMC), INC.",PH,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
254900H8N4OIT9RZGU93,DB ESG Balanced SAA (USD) Plus,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
213800TYDH1M7T796R14,ELEKTRA PURCHASE NO. 57 DESIGNATED ACTIVITY COMPANY,IE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900BP3CJL3VRPPD14,Deutsche Trustees Malaysia Berhad,MY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900XW0MDD0HF0VN23,"DB Global Technology, Inc.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300VNB1ZXI6EKTQ66,DWS FLEXPENSION - II 2026,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900SWYVP0QMM8S558,SAPIO Grundstücks-Vermietungsgesellschaft mbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900G9Z4I79FGUE649,"Deutsche Securities, S.A. de C.V., Casa de Bolsa",MX,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900SWZG9FZS4PPH60,DB CARTERA DE INMUEBLES 1 SA,ES,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
254900ER2GAN3HN8T134,Zurich - Zurich Government Bonds Medium/Short ESG,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900HTTKWH3JNK9335,DB Alex. Brown Holdings Incorporated,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300XGJX6FOWLOI640,FIDEURAM - INTESA SANPAOLO PRIVATE BANKING S.P.A. IN FORMA ABBREVIATA FIDEURAM S.P.A.,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900XFKQNG0IW8H047,WealthCap Management Services GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900CVJFHY7SC3IA84,Gebäudeleasing Grundstücksverwaltungs-Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900TK95D6PNN50T90,Deutsche Bank Trustee Services (Guernsey) Limited,GG,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,IE,HWUPKR0MPOU8FGXBT394,Apple Inc.
549300KH3XDPHJ5O8L97,UNILEVER TAIWAN LTD.,TW,549300MKFYEKVRWML317,UNILEVER PLC
549300MXEAL7IIGFC661,DEAM-FONDS VB BABARA NR. 2,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900WZLAKGNSOHOW26,DISCA Beteiligungsgesellschaft mbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
789000XDPJFDGEU86P31,INTESA SANPAOLO SPA İTALYA İSTANBUL MERKEZ ŞUBESİ,TR,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
549300QLNL4I2WV7SD23,ESSILOR NEDERLAND HOLDING B.V.,NL,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
549300SX7LKM3752HG14,UNILEVER OVERSEAS HOLDINGS AG,CH,549300MKFYEKVRWML317,UNILEVER PLC
529900EGEA1JYL9ONH25,RREEF India Advisors Private Limited,IN,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300QJXEB6PZF1P432,UNILEVER UK & CN HOLDINGS LIMITED,GB,549300MKFYEKVRWML317,UNILEVER PLC
549300CR9TBLZ3CGBS13,TRANSITIONS OPTICAL PTY LTD,AU,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
5493009H72X8TTX98V31,ESEL OPTIK MAKINALARI ITHALAT IHRACAT PAZARLAMA VE TICARET ANONIM SIRKETI,TR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900KE29GOXDMG0S67,Menuett Grundstücksverwaltungs-Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
3157007C98ILJK5ST356,"UniCredit Leasing CZ, a.s.",CZ,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900B9D7B2Z2U9E686,UniCredit Leasing EAD,BG,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
52990043Y7PWJD1G2108,DEUTSCHE FORAS NEW ZEALAND LIMITED,NZ,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300PTK3ZQ3QOOL487,DP PrivatMandat Comfort - PRO Deutschland,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300DTNTPKNKGJ7P43,UniCredit Leasing Croatia društvo s ograničenom odgovornošću za leasing,HR,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
213800QILIUD4ROSUO03,Deutsche Bank Europe GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900P7ZZJ2UGXVAJ38,Beteiligungsverwaltungsgesellschaft der Bank Austria Creditanstalt Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5299002RAQ8UIG1NFQ40,"GAC-HEL II, Inc.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900CYTFL4QPESXQ96,Eurolease RA Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900ZKD8MK3OHI4D54,Chefren Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5299007NUHEK3805DE85,Quartz No. 1 S.A.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299005XTWXW51FR9A63,RREEF EUROPEAN VALUE ADDED I (G.P.) LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900EKOYG8BTTOMR05,"Sabiedrība ar ierobežotu atbildību ""UCTAM Baltics""",LV,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900OVSJWHY1FYLQ08,Oct Z Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5493005ZCW4U9X373Y29,UNUS HOLDING B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
5299004NWPDE4L4VC454,LUFTHANSA MALTA CORPORATE FINANCE LIMITED,MT,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
549300M15VIRFQT7RG91,PAULA'S CHOICE EUROPE B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
2549008QKYSJ7Y15KR64,DWS Confirmed Payables Fund,IE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900508MSGTKVQKZ11,Bankhaus August Lenz & Co. Aktiengesellschaft,DE,7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM SPA
529900IZCOKCTPEKN750,"Bayan Delinquent Loan Recovery 1 (SPV-AMC), Inc.",PH,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300R357WFIUHYXQ97,DEAM-FONDS PPC EQ,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
254900QWU1BGP3Q0R988,Multi Asset 2026 III,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300BW0T0VJZ8YT598,BA-CA Markets & Investment Beteiligung Ges.m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5299003RMY6TOGE8F046,DB Beteiligungs-Holding GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
213800CGWUEIX6ZHBX50,FONDO PENSIONE APERTO GIUSTINIANO,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900TUYK8SFCHQ3076,Baulandentwicklung Gdst 1682/8 GmbH & Co OG,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
